"run","nb","step","red","blue","green"
"4","50","1","0.26","0.16","0.58"
"2","50","1","0.28","0.18","0.54"
"5","50","1","0.38","0.16","0.46"
"6","50","1","0.2","0.38","0.42"
"7","50","1","0.3","0.22","0.48"
"8","50","1","0.14","0.28","0.58"
"9","50","1","0.28","0.26","0.46"
"11","100","1","0.28","0.3","0.42"
"12","100","1","0.23","0.29","0.48"
"13","100","1","0.31","0.21","0.48"
"14","100","1","0.26","0.3","0.44"
"15","100","1","0.21","0.29","0.5"
"16","100","1","0.23","0.22","0.55"
"17","100","1","0.2","0.36","0.44"
"1","50","1","0.26","0.2","0.54"
"10","50","1","0.3","0.26","0.44"
"18","100","1","0.25","0.28","0.47"
"19","100","1","0.18","0.31","0.51"
"20","100","1","0.29","0.22","0.49"
"3","50","1","0.22","0.32","0.46"
"21","200","1","0.31","0.22","0.47"
"22","200","1","0.25","0.265","0.485"
"23","200","1","0.29","0.27","0.44"
"24","200","1","0.205","0.27","0.525"
"25","200","1","0.25","0.23","0.52"
"27","200","1","0.35","0.275","0.375"
"26","200","1","0.245","0.215","0.54"
"28","200","1","0.165","0.28","0.555"
"30","200","1","0.215","0.255","0.53"
"29","200","1","0.31","0.19","0.5"
"32","500","1","0.262","0.254","0.484"
"33","500","1","0.254","0.232","0.514"
"31","500","1","0.29","0.258","0.452"
"35","500","1","0.212","0.27","0.518"
"36","500","1","0.244","0.244","0.512"
"38","500","1","0.266","0.25","0.484"
"34","500","1","0.214","0.264","0.522"
"39","500","1","0.256","0.262","0.482"
"40","500","1","0.222","0.2","0.578"
"37","500","1","0.242","0.228","0.53"
"42","1000","1","0.26","0.238","0.502"
"41","1000","1","0.272","0.251","0.477"
"44","1000","1","0.226","0.266","0.508"
"43","1000","1","0.266","0.237","0.497"
"45","1000","1","0.236","0.252","0.512"
"46","1000","1","0.248","0.244","0.508"
"47","1000","1","0.249","0.25","0.501"
"48","1000","1","0.245","0.262","0.493"
"49","1000","1","0.252","0.245","0.503"
"50","1000","1","0.262","0.232","0.506"
"54","2000","1","0.249","0.2455","0.5055"
"53","2000","1","0.2435","0.2595","0.497"
"52","2000","1","0.237","0.258","0.505"
"51","2000","1","0.254","0.2645","0.4815"
"56","2000","1","0.256","0.2395","0.5045"
"55","2000","1","0.2485","0.251","0.5005"
"57","2000","1","0.2575","0.251","0.4915"
"58","2000","1","0.2665","0.25","0.4835"
"60","2000","1","0.242","0.2565","0.5015"
"59","2000","1","0.2575","0.265","0.4775"
"61","5000","1","0.2522","0.231","0.5168"
"62","5000","1","0.2556","0.246","0.4984"
"63","5000","1","0.2434","0.2336","0.523"
"64","5000","1","0.2488","0.247","0.5042"
"65","5000","1","0.2506","0.2576","0.4918"
"66","5000","1","0.2622","0.2532","0.4846"
"67","5000","1","0.246","0.243","0.511"
"68","5000","1","0.2496","0.2486","0.5018"
"69","5000","1","0.2484","0.2532","0.4984"
"70","5000","1","0.2566","0.2538","0.4896"
